Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,项目进度计划,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,文档修订记录,,,
,,,,,,,
,版本号,修订日期,修订人,修订说明,批准日期,审核人,批准人
,V1.0,2023-01-16 00:00:00,寇文军,新建,2023-01-16 00:00:00,石荣磊,Jack Wong
,V1.1,2023-07-10 00:00:00,寇文军,按照研发项目标准过程进行一级任务的调整，并增加实际开始、实际结束日期、实际投入工时。增加策划文档的编写任务，以及计划评审任务。,2023-07-10 00:00:00,石荣磊,Jack Wong
,V1.2,2023-07-25 00:00:00,寇文军,去掉数据迁移及推广实施等属于项目实施的内容，不要体现在项目计划及成本估算中。,2023-07-25 00:00:00,石荣磊,Jack Wong
