Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,XXX项目,,,,,,
,变更记录表,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,文档修订记录,,,
,,,,,,,
,版本号,修订日期,修订人,修订说明,批准日期,审核人,批准人
,V1.0,2023-01-16 00:00:00,尹贤臣,新建,2023-01-16 00:00:00,石荣磊,Jack Wong
,V1.1,2023-02-17 00:00:00,尹贤臣,"1、删掉了原《评审申请表》
2、在原《评审记录表》中的《变更审批》中，在项目经理审批上面增加了《客户确认意见》，提示出：（当变更来源于客户，并且需求涉及基线的变更或者需求超出合同范围时，需经客户方代表签字确认）",2023-02-17 00:00:00,石荣磊,Jack Wong
,V1.2,2023-06-07 00:00:00,尹贤臣,变更申请单与变更记录表合二为一，简化填写上的困惑。,2023-06-07 00:00:00,石荣磊,Jack Wong
