需求编号,需求描述,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
技术优化3,"【需求背景】：部分单据需要根据固定角色编码或功能配置进行控制按钮的显示与否
【方案描述】：统一由后端接入，由鉴权接口统一返回对应按钮显示与否
包含：新增按钮，同步按钮，单点按钮，提交按钮，作废按钮",功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证工程管理经理是否可查看新增按钮,"1.系统运行正常
2.使用工程管理经理角色登陆环境",1.进入物资申领单列表页面,1.工程管理经理角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证工程实施经理（主）/工程实施经理是否可查看新增按钮,"1.系统运行正常
2.使用工程实施经理角色登陆环境",1.进入物资申领单列表页面,1.工程实施经理角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证任务经理是否可查看新增按钮,"1.系统运行正常
2.使用任务经理角色登陆环境",1.进入物资申领单列表页面,1.任务经理角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证物资管理员是否可查看新增按钮,"1.系统运行正常
2.使用物资管理员角色登陆环境",1.进入物资申领单列表页面,1.物资管理员角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证施工单位负责人是否可查看新增按钮,"1.系统运行正常
2.使用施工单位负责人角色登陆环境",1.进入物资申领单列表页面,1.施工单位负责人角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证仓库物资管理员是否可查看新增按钮,"1.系统运行正常
2.使用仓库物资管理员角色登陆环境",1.进入物资申领单列表页面,1.仓库物资管理员角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证施工专业负责人是否可查看新增按钮,"1.系统运行正常
2.使用施工专业负责人角色登陆环境",1.进入物资申领单列表页面,1.施工专业负责人角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证施工队长是否可查看新增按钮,"1.系统运行正常
2.使用施工队长角色登陆环境",1.进入物资申领单列表页面,1.施工队长角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证领料员是否可查看新增按钮,"1.系统运行正常
2.使用领料员角色登陆环境",1.进入物资申领单列表页面,1.领料员角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证物资接收员是否可查看新增按钮,"1.系统运行正常
2.使用物资接收员角色登陆环境",1.进入物资申领单列表页面,1.物资接收员角色的用户可看到新增按钮，并正常新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证监理工程师是否可查看新增按钮,"1.系统运行正常
2.使用监理工程师角色登陆环境",1.进入物资申领单列表页面,1.监理工程师角色的用户不可看到新增按钮，不能新增物资申领单,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证全国权限的用户是否可查看新增按钮,"1.系统运行正常
2.使用全国权限角色登陆环境",1.进入物资申领单列表页面,1.全国权限的用户不能看到新增按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证省公司（本部+地市）权限的用户是否可查看新增按钮,"1.系统运行正常
2.使用省公司（本部+地市）权限角色登陆环境",1.进入物资申领单列表页面,1.省公司（本部+地市）权限的用户不能看到新增按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证省本部权限的用户是否可查看新增按钮,"1.系统运行正常
2.使用省本部权限角色登陆环境",1.进入物资申领单列表页面,1.省本部权限的用户不能看到新增按钮,通过,冯云梦,MSIT,
技术优化3,,功能,物资管理-物资申领单,物资申领单,新增按钮显示,L2,验证地市权限的用户是否可查看新增按钮,"1.系统运行正常
2.使用地市公司权限角色登陆环境",1.进入物资申领单列表页面,1.地市公司权限角色的用户不能看到新增按钮,通过,冯云梦,MSIT,
