需求编号,需求描述,用例类型,功能模块,导航,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注,运营平台需求编号
技术优化2,"【背景】生产环境中， 目前关于遇到功能例如SCM订单导出数据量60万数据量， 导出失败的情况。
1.本身导出sql优化
2.接入异步导出",功能,SCM采购订单查询,项目采购-SCM采购订单查询,导出,L3,验证列表结果为空时可导出成功,"1、系统运行正常
2、用户有导出权限
3、列表查询结果展示为空",1、点击【导出】按钮,1、导出成功，内容展示为空,通过,杨巍,MSIT,,
技术优化2,,功能,SCM采购订单查询,项目采购-SCM采购订单查询,导出,L3,验证部分数据导出功能,"1、系统运行正常
2、用户有导出权限
3、筛选部分结果成功，列表存在多页数据",1、点击【导出】按钮,1、导出全部筛选的结果,通过,杨巍,MSIT,,
技术优化2,,功能,SCM采购订单查询,项目采购-SCM采购订单查询,导出,L3,验证导出文件格式和内容正确,"1、用户进入功能页面成功
2、用户有导出权限
3、列表存在数据",1、导出文件成功，查看文件存储位置、格式、内容,"1、文件存储位置正确
2、文件存储名称、格式正确（同需求保持一致）
3、文件可打开正常，sheet页名称、导出字段名称和顺序、各字段值、导出总数正确",通过,杨巍,MSIT,,
技术优化2,,兼容,SCM采购订单查询,项目采购-SCM采购订单查询,导出,L3,验证导出兼容性,"1、用户进入功能页面成功
2、用户有导出权限",1、使用不同浏览器（IE、火狐、谷歌、safari、Edge、CMCC）导出文件,1、导出页面展示正常且可导出成功,通过,杨巍,MSIT,,
技术优化2,,性能,SCM采购订单查询,项目采购-SCM采购订单查询,导出,L3,验证导出性能,"1、用户进入功能页面成功
2、用户有导出权限",1、导出100万条数据,1、导出成功，接口耗时正常,通过,杨巍,MSIT,,
9321,"【需求背景】：目前PMS系统可以同步合同系统的合同状态，支持将合同签订的关键信息以“合同同步”阅知的方式发送至计划经理
【需求描述】：请协助将IT公司的“合同同步”阅知同步发送给计划经理、工程管理经理、需求经理和实施经理
【方案概述】：
1、系统已支持在同步到合同和对应项目信息后发送“合同同步”阅知至计划项目经理，新增“合同同步”阅知的发送人员：需求经理、工程管理经理（主、辅）、工程实施经理（主、辅）
2、发送待办时，根据发送的人员合并，如果该人员账号下有未处理的“合同同步”待办直接合并到对应待办中，如果该人员账号无“合同同步”待办，则新起一个待办。
3、修改待办标题为：【项目采购合同同步】合同项目信息同步完成提醒",功能,合同查询,项目采购-合同查询,待办,L1,验证待办名称,"1、系统运行正常
2、已收到合同同步的待办",1、查看待办名称,1、待办标题为：【项目采购合同同步】合同项目信息同步完成提醒,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L0,验证“合同同步”待办同步发送给计划经理、工程管理经理、需求经理和实施经理,"1、系统运行正常
2、项目信息下的项目成员：计划经理、需求经理、工程管理经理（主、辅）、工程实施经理（主、辅）都为不同的人员",1、该项目合同信息同步成功发送待办,1、分别给计划经理、需求经理、工程管理经理（主、辅）、工程实施经理（主、辅）发送一条待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L0,验证用户下无未处理的“合同同步”待办，会新起一条待办,"1、系统运行正常
2、项目计划经理、需求经理下无未处理的“合同同步”待办",1、该项目合同信息同步成功发送待办,1、两个人分别新起一个待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L1,验证用户下有未处理的“合同同步”待办，新待办会合并到对应“合同同步”待办中,"1、系统运行正常
2、工程管理经理（主、辅）、工程实施经理（主、辅）有“合同同步”待办",1、该项目合同信息同步成功发送待办,1、工程管理经理（主、辅）、工程实施经理（主、辅）收到待办，直接合并到对应“合同同步”待办中,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
9321,,功能,合同查询,项目采购-合同查询,待办,L1,验证一个用户具备同一个项目的多个角色，只会合并发送一条待办,"1、系统运行正常
2、计划经理、需求经理为同一个用户",1、该项目合同信息同步成功发送待办,1、用户只会合并收到一条待办,通过,王贝妮,UAT,,XQ-W-CPMS-HQ-20230529-0052
